Response,Income
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,<30K
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
Redistribute,Mid
